 kvkey |             kvts              |                 kvname                 |             kvvalue              |   kvseq   | kvpvmi |        kvpvname        | kvro |  kvmotion  |           kvmd2cmd           | kvstn | kvdbrtype |  kvnotify   
-------+-------------------------------+----------------------------------------+----------------------------------+-----------+--------+------------------------+------+------------+------------------------------+-------+-----------+-------------
  8352 | 2012-11-26 14:21:53.689901-06 | stns.2.align.x                         | 2.800                            | 101150280 |        |                        | t    |            |                              |     2 |         0 | 
  7520 | 2011-07-20 12:42:07.581085-05 | stns.2.align.x.canHome                 | true                             |   9330118 |        |                        | t    |            |                              |     2 |         3 | 
  7518 | 2011-07-18 14:42:36.145892-05 | stns.2.align.x.canMove                 | true                             |   8846514 |        |                        | t    |            |                              |     2 |         3 | 
  7539 | 2011-07-20 12:42:07.581085-05 | stns.2.align.x.canStop                 | true                             |   9330118 |        |                        | t    |            |                              |     2 |         3 | 
  7530 | 2011-07-18 14:42:36.145892-05 | stns.2.align.x.currentPreset           | -1                               |   8846514 |        |                        | t    |            |                              |     2 |         1 | 
  7569 | 2012-06-21 09:04:01.910962-05 | stns.2.align.x.inPosition              | true                             |  75116156 |        |                        | t    |            |                              |     2 |         3 | 
  7527 | 2011-07-18 14:42:36.145892-05 | stns.2.align.x.largeStep               | 0.01                             |   8846514 |        |                        | t    |            |                              |     2 |         6 | 
  7517 | 2011-07-18 14:42:36.145892-05 | stns.2.align.x.maxPosition             | 2                                |   8846514 |        |                        | t    |            |                              |     2 |         6 | 
  7507 | 2011-07-18 14:42:36.145892-05 | stns.2.align.x.minPosition             | -1.98                            |   8846514 |        |                        | t    |            |                              |     2 |         6 | 
  7532 | 2011-07-18 14:42:36.145892-05 | stns.2.align.x.moveMode                | translation                      |   8846514 |        |                        | t    |            |                              |     2 |         3 | 
  7534 | 2011-07-18 14:42:36.145892-05 | stns.2.align.x.name                    | align.x                          |   8846514 |        |                        | t    |            |                              |     2 |         0 | 
  7536 | 2012-06-21 09:03:15.134968-05 | stns.2.align.x.negLimitSet             | 0                                |  75115945 |        |                        | t    |            |                              |     2 |         6 | 
  7540 | 2012-11-26 14:21:53.689901-06 | stns.2.align.x.position                | 2.800                            | 101150280 |        |                        | t    |            | moveAbs align.x              |     2 |         6 | 
  7541 | 2012-06-21 09:01:27.700327-05 | stns.2.align.x.posLimitSet             | 0                                |  75115430 |        |                        | t    |            |                              |     2 |         6 | 
  7514 | 2011-07-18 14:42:36.145892-05 | stns.2.align.x.presets.length          | 0                                |   8846514 |        |                        | t    |            |                              |     2 |         1 | {}
  7516 | 2011-07-18 14:42:36.145892-05 | stns.2.align.x.printPrecision          | 4                                |   8846514 |        |                        | t    |            |                              |     2 |         1 | 
  7510 | 2011-07-18 14:42:36.145892-05 | stns.2.align.x.smallStep               | 0.001                            |   8846514 |        |                        | t    |            |                              |     2 |         6 | 
  8353 | 2012-11-27 16:02:28.307664-06 | stns.2.align.y                         | 7.790                            | 101263889 |        |                        | t    |            |                              |     2 |         0 | 
  7352 | 2011-07-20 12:42:07.581085-05 | stns.2.align.y.canHome                 | true                             |   9330118 |        |                        | t    |            |                              |     2 |         3 | 
  7330 | 2011-07-18 09:11:24.520242-05 | stns.2.align.y.canMove                 | true                             |   7650668 |        |                        | t    |            |                              |     2 |         3 | 
  7349 | 2011-07-20 12:42:07.581085-05 | stns.2.align.y.canStop                 | true                             |   9330118 |        |                        | t    |            |                              |     2 |         3 | 
  7344 | 2011-07-18 09:11:24.520242-05 | stns.2.align.y.currentPreset           | -1                               |   7650668 |        |                        | t    |            |                              |     2 |         1 | 
  7571 | 2012-06-21 09:03:40.29806-05  | stns.2.align.y.inPosition              | true                             |  75116066 |        |                        | t    |            |                              |     2 |         3 | 
  7372 | 2011-07-18 09:11:24.520242-05 | stns.2.align.y.largeStep               | 0.01                             |   7650668 |        |                        | t    |            |                              |     2 |         6 | 
  7367 | 2012-01-27 15:14:18.55596-06  | stns.2.align.y.maxPosition             | 8.99                             |  48882822 |        |                        | t    |            |                              |     2 |         6 | 
  7368 | 2011-07-18 09:11:24.520242-05 | stns.2.align.y.minPosition             | -6.994                           |   7650668 |        |                        | t    |            |                              |     2 |         6 | 
  7345 | 2011-07-18 09:11:24.520242-05 | stns.2.align.y.moveMode                | translation                      |   7650668 |        |                        | t    |            |                              |     2 |         3 | 
  7375 | 2011-07-18 09:11:24.520242-05 | stns.2.align.y.name                    | align.y                          |   7650668 |        |                        | t    |            |                              |     2 |         0 | 
  7339 | 2012-06-21 08:58:46.248611-05 | stns.2.align.y.negLimitSet             | 0                                |  75114669 |        |                        | t    |            |                              |     2 |         6 | 
  7333 | 2012-11-27 16:02:28.307664-06 | stns.2.align.y.position                | 7.790                            | 101263889 |        |                        | t    |            | moveAbs align.y              |     2 |         6 | 
  7347 | 2012-06-21 09:03:36.172249-05 | stns.2.align.y.posLimitSet             | 0                                |  75116044 |        |                        | t    |            |                              |     2 |         6 | 
